Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2017-0555-R,7/2/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/9/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42462,White,Female,42,12,,,
Rank Initiated,2017-0555-R,7/2/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/9/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42464,Hispanic,Male,40,3,,,
Rank Initiated,2017-0555-R,7/2/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/9/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42556,White,Female,50,20,,,
Rank Initiated,2017-0558-R,,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42467,White,Male,,26,,,
Rank Initiated,2017-0558-R,,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42469,Black,Male,,25,,,
Rank Initiated,2017-0560-R,8/5/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/13/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42476,Black,Female,50,25,,,
Rank Initiated,2017-0560-R,8/5/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/13/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42691,Hispanic,Male,52,23,,,
Rank Initiated,2017-0572-R,,10/9/2017 12:00:00 AM,9/26/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,2nd Platoon,,,,,,42506,White,Male,,20,,,
Rank Initiated,2017-0573-R,4/12/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42508,White,Male,52,3,,,
Rank Initiated,2017-0573-R,4/12/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42510,White,Male,36,9,,,
Rank Initiated,2017-0574-R,4/16/2017 12:00:00 AM,10/9/2017 12:00:00 AM,3/13/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Day Watch,Patrol,Unknown Working Status,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42513,White,Female,37,4,,,
Rank Initiated,2017-0589-R,6/25/2017 12:00:00 AM,10/9/2017 12:00:00 AM,7/13/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42578,Black,Male,34,15,,,
Rank Initiated,2017-0589-R,6/25/2017 12:00:00 AM,10/9/2017 12:00:00 AM,7/13/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42917,Black,Male,61,42,,,
Rank Initiated,2017-0563-R,7/1/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42486,White,Female,27,3,,,
Rank Initiated,2017-0563-R,7/1/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42487,Black,Male,43,13,,,
Rank Initiated,2017-0564-R,9/4/2017 12:00:00 AM,10/9/2017 12:00:00 AM,3/27/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,Investigations,Squad 2,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42489,White,Male,36,11,,,
Rank Initiated,2017-0565-R,6/24/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/25/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42491,White,Male,25,3,,,
Rank Initiated,2017-0565-R,6/24/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/25/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42492,White,Male,26,3,,,
Rank Initiated,2017-0566-R,8/31/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42915,Black,Male,53,27,,,
Rank Initiated,2017-0567-R,6/20/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,A Platoon,,,,,,42821,White,Male,35,15,,,
Rank Initiated,2017-0568-R,8/5/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/27/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,6th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42500,Black,Male,54,31,,,
Rank Initiated,2017-0577-R,3/18/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/2/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,42522,Black,Male,53,30,,,
Rank Initiated,2017-0577-R,3/18/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/2/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,42524,Black,Female,39,3,,,
Rank Initiated,2017-0578-R,4/20/2017 12:00:00 AM,10/9/2017 12:00:00 AM,5/2/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,,,42529,Black,Female,39,3,,,
Rank Initiated,2017-0578-R,4/20/2017 12:00:00 AM,10/9/2017 12:00:00 AM,5/2/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,,,42531,Black,Male,41,14,,,
Rank Initiated,2017-0579-R,8/6/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/24/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42534,Black,Male,41,14,,,
Rank Initiated,2017-0579-R,8/6/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/24/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42535,Black,Male,50,28,,,
Rank Initiated,2017-0582-R,10/5/2017 12:00:00 AM,10/9/2017 12:00:00 AM,1/24/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42701,Black,Male,62,39,,,
Rank Initiated,2017-0582-R,10/5/2017 12:00:00 AM,10/9/2017 12:00:00 AM,1/24/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42704,Black,Male,61,42,,,
Rank Initiated,2017-0583-R,,10/9/2017 12:00:00 AM,6/28/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42543,Asian/Pacif,Male,,11,,,
Rank Initiated,2017-0583-R,,10/9/2017 12:00:00 AM,6/28/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42545,White,Female,,6,,,
Rank Initiated,2017-0576-R,4/8/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/5/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42520,White,Male,29,4,Male,Black,49
Rank Initiated,2017-0576-R,4/8/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/5/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42652,Black,Male,36,4,Male,Black,49
Rank Initiated,2017-0576-R,4/8/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/5/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42654,Black,Male,53,28,Male,Black,49
Rank Initiated,2017-0576-R,4/8/2017 12:00:00 AM,10/9/2017 12:00:00 AM,4/5/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42656,Black,Male,45,22,Male,Black,49
Rank Initiated,2017-0575-R,4/22/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/18/2017 12:00:00 AM,DI-1,Completed,Other,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42516,Black,Female,33,12,Female,,
Rank Initiated,2017-0575-R,4/22/2017 12:00:00 AM,10/9/2017 12:00:00 AM,12/18/2017 12:00:00 AM,DI-1,Completed,Other,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42518,Black,Female,31,11,Female,,
Rank Initiated,2017-0581-P,10/1/2017 12:00:00 AM,10/9/2017 12:00:00 AM,11/10/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 11pm-7am,,,42540,Black,Male,45,22,,,
Public Initiated,2017-0584-N,,10/10/2017 12:00:00 AM,11/20/2017 12:00:00 AM,NFIM,Completed,NFIM,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42562,,,,,Male,,
Rank Initiated,2017-0585-R,6/15/2017 12:00:00 AM,10/10/2017 12:00:00 AM,11/2/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,42565,White,Male,48,3,,,
Rank Initiated,2017-0585-R,6/15/2017 12:00:00 AM,10/10/2017 12:00:00 AM,11/2/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,42567,White,Male,25,3,,,
Rank Initiated,2017-0586-R,6/15/2017 12:00:00 AM,10/10/2017 12:00:00 AM,3/22/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42569,Black,Male,54,25,,,
Rank Initiated,2017-0587-R,3/3/2017 12:00:00 AM,10/10/2017 12:00:00 AM,7/5/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42572,Black,Male,62,39,,,
Rank Initiated,2017-0588-R,8/17/2017 12:00:00 AM,10/10/2017 12:00:00 AM,10/26/2017 12:00:00 AM,DI-1,Completed,Other,PIB - Public Integrity Bureau,PIB,Staff,Adminstrative Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42798,White,Male,51,22,,,
Rank Initiated,2017-0590-D,9/22/2017 12:00:00 AM,10/10/2017 12:00:00 AM,10/16/2017 12:00:00 AM,DI-2,Completed,Other,,,,,,,,,42581,Black,Male,58,3,,,
Public Initiated,2017-0532-P,9/21/2017 12:00:00 AM,10/10/2017 12:00:00 AM,5/1/2019 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42583,Black,Male,27,6,Male,Black,41
Public Initiated,2017-0532-P,9/21/2017 12:00:00 AM,10/10/2017 12:00:00 AM,5/1/2019 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,43998,Black,Male,55,17,Male,Black,41
Public Initiated,2017-0532-P,9/21/2017 12:00:00 AM,10/10/2017 12:00:00 AM,5/1/2019 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,44000,White,Male,26,5,Male,Black,41
Public Initiated,2017-0592-P,9/30/2017 12:00:00 AM,10/11/2017 12:00:00 AM,11/9/2017 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42610,White,Male,25,3,Male,Black,57
Public Initiated,2017-0592-P,9/30/2017 12:00:00 AM,10/11/2017 12:00:00 AM,11/9/2017 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42876,White,Male,27,3,Male,Black,57
Public Initiated,2017-0593-N,10/7/2017 12:00:00 AM,10/11/2017 12:00:00 AM,11/20/2017 12:00:00 AM,DI-1,Completed,NFIM,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42612,,,,,Male,Black,57
Rank Initiated,2017-0591-D,10/7/2017 12:00:00 AM,10/11/2017 12:00:00 AM,10/16/2017 12:00:00 AM,DI-2,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,,,42608,Black,Male,41,18,,,
Rank Initiated,2017-0595-R,10/11/2017 12:00:00 AM,10/12/2017 12:00:00 AM,12/7/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42649,Black,Male,35,10,,,
Public Initiated,2017-0596-P,10/3/2017 12:00:00 AM,10/13/2017 12:00:00 AM,12/29/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42703,Black,Male,45,21,Male,Black,53
Public Initiated,2017-0599-P ,10/14/2017 12:00:00 AM,10/14/2017 12:00:00 AM,10/3/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42667,Black,Male,54,25,Male,Black,24
Public Initiated,2017-0599-P ,10/14/2017 12:00:00 AM,10/14/2017 12:00:00 AM,10/3/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42667,Black,Male,54,25,,,
Rank Initiated,2017-0600-R,8/26/2017 12:00:00 AM,10/16/2017 12:00:00 AM,9/25/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,2nd District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42695,White,Male,28,3,,,
Public Initiated,2017-0597-P,4/1/2017 12:00:00 AM,10/17/2017 12:00:00 AM,12/29/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,43285,Black,Female,51,21,Male,Black,44
Public Initiated,2017-0603-P,10/9/2017 12:00:00 AM,10/17/2017 12:00:00 AM,12/29/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,42714,Black,Female,40,19,,,
Public Initiated,2017-0601-P,10/13/2017 12:00:00 AM,10/17/2017 12:00:00 AM,11/20/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42945,Black,Male,39,19,,,
Public Initiated,2017-0598-P,10/12/2017 12:00:00 AM,10/17/2017 12:00:00 AM,2/22/2018 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42719,Black,Male,34,12,,,
Public Initiated,2017-0602-N,10/13/2017 12:00:00 AM,10/18/2017 12:00:00 AM,11/8/2017 12:00:00 AM,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,42789,,,,,,,
Public Initiated,2017-0604-P,4/11/2016 12:00:00 AM,10/18/2017 12:00:00 AM,2/28/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42792,White,Male,28,4,Male,Black,
Public Initiated,2017-0604-P,4/11/2016 12:00:00 AM,10/18/2017 12:00:00 AM,2/28/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42794,Black,Male,51,18,Male,Black,
Public Initiated,2017-0605-P,10/1/2017 12:00:00 AM,10/18/2017 12:00:00 AM,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,42796,White,Male,33,5,Male,Black,28
Public Initiated,2017-0605-P,10/1/2017 12:00:00 AM,10/18/2017 12:00:00 AM,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,43046,Black,Male,40,21,Male,Black,28
Public Initiated,2017-0605-P,10/1/2017 12:00:00 AM,10/18/2017 12:00:00 AM,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,43048,White,Male,31,4,Male,Black,28
Public Initiated,2017-0605-P,10/1/2017 12:00:00 AM,10/18/2017 12:00:00 AM,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,43050,Black,Male,29,5,Male,Black,28
Public Initiated,2017-0605-P,10/1/2017 12:00:00 AM,10/18/2017 12:00:00 AM,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,43052,Black,Male,25,5,Male,Black,28
Public Initiated,2017-0607-P,10/17/2017 12:00:00 AM,10/19/2017 12:00:00 AM,4/24/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42809,Black,Female,33,3,,,
Public Initiated,2017-0608-P,10/15/2017 12:00:00 AM,10/19/2017 12:00:00 AM,8/28/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42810,Black,Male,45,21,,,
Rank Initiated,2017-0606-D,,10/19/2017 12:00:00 AM,10/31/2017 12:00:00 AM,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,1st Platoon,,,,,,42807,Black,Female,,4,,,
Rank Initiated,2017-0609-R,,10/20/2017 12:00:00 AM,2/22/2018 12:00:00 AM,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42826,Black,Male,,22,,,
Rank Initiated,2017-0609-R,,10/20/2017 12:00:00 AM,2/22/2018 12:00:00 AM,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42872,Black,Male,,18,,,
Rank Initiated,2017-0609-R,,10/20/2017 12:00:00 AM,2/22/2018 12:00:00 AM,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42873,Black,Female,,12,,,
Rank Initiated,2017-0609-R,,10/20/2017 12:00:00 AM,2/22/2018 12:00:00 AM,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,42874,Black,Female,,11,,,
Public Initiated,2017-0610-P,10/20/2017 12:00:00 AM,10/24/2017 12:00:00 AM,3/6/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,43077,White,Male,35,10,,,
Public Initiated,2017-0610-P,10/20/2017 12:00:00 AM,10/24/2017 12:00:00 AM,3/6/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,43124,White,Male,33,12,,,
Public Initiated,2017-0611-P,,10/24/2017 12:00:00 AM,9/26/2018 12:00:00 AM,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Juvenile Section,3rd Platoon,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42860,Black,Male,,24,,,
Public Initiated,2017-0611-P,,10/24/2017 12:00:00 AM,9/26/2018 12:00:00 AM,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Juvenile Section,3rd Platoon,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,43038,Black,Male,,16,,,
Public Initiated,2017-0612-P,10/8/2017 12:00:00 AM,10/24/2017 12:00:00 AM,3/21/2018 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,42861,Black,Male,54,23,Female,Black,
Public Initiated,2017-0613-N,6/14/2015 12:00:00 AM,10/24/2017 12:00:00 AM,11/2/2017 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,42898,,,,,,,
