"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"2414";"Public Initiated";"2018-0190-P";"3/28/2018 12:00:00 AM";"3/29/2018 12:00:00 AM";"5/9/2018 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"6th District";"A Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";45866;"White";"Male";49;25;"Male";"Black";39
"2415";"Rank Initiated";"2018-0207-R";"3/26/2018 12:00:00 AM";"4/1/2018 12:00:00 AM";"5/31/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"";"";45656;"Black";"Female";36;3;"";"";NA
"2416";"Rank Initiated";"2018-0193-R";"";"4/2/2018 12:00:00 AM";"5/31/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45781;"White";"Male";NA;3;"";"";NA
"2417";"Rank Initiated";"2018-0193-R";"";"4/2/2018 12:00:00 AM";"5/31/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45783;"Black";"Male";NA;10;"";"";NA
"2418";"Public Initiated";"2018-0194-R";"3/29/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"9/4/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45586;"Black";"Female";37;17;"";"";NA
"2419";"Public Initiated";"2018-0201-P";"2/9/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"10/30/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"Unknown District/Division";"C Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45904;"Black";"Male";39;14;"Male";"Black";51
"2420";"Public Initiated";"2018-0191-P";"3/29/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"5/9/2018 12:00:00 AM";"Mediation";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45592;"Black";"Male";43;5;"Female";"Black";30
"2421";"Public Initiated";"2018-0191-P";"3/29/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"5/9/2018 12:00:00 AM";"Mediation";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45593;"Black";"Male";45;21;"Female";"Black";30
"2422";"Public Initiated";"2018-0195-P";"3/31/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"5/31/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"C Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45597;"White";"Male";43;10;"Female";"White";52
"2423";"Public Initiated";"2018-0196-P";"4/1/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"8/9/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Police Recruits";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45599;"White";"Female";23;3;"Female";"Hispanic";25
"2424";"Public Initiated";"2018-0197-P";"4/1/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"8/3/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45605;"Black";"Male";49;15;"Female";"White";19
"2425";"Public Initiated";"2018-0197-P";"4/1/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"8/3/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45640;"Black";"Male";63;39;"Female";"White";19
"2426";"Public Initiated";"2018-0198-N";"4/1/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"5/8/2018 12:00:00 AM";"NFIM";"Forwarded";"Pending";"";"Unknown District/Division";"";"";"";"";"NO VIOLATION OBSERVED";"";48476;"";"";NA;NA;"";"";NA
"2427";"Public Initiated";"2018-0199-P";"3/8/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"10/5/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45616;"White";"Male";41;20;"Female";"White";35
"2428";"Public Initiated";"2018-0199-P";"3/8/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"10/5/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45799;"White";"Male";25;4;"Female";"White";35
"2429";"Public Initiated";"2018-0210-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"4/4/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"Investigations";"Staff";"";"";"";"";45662;"Hispanic";"Female";44;6;"Female";"White";35
"2430";"Public Initiated";"2018-0210-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"4/4/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"Investigations";"Staff";"";"";"";"";45663;"White";"Male";37;17;"Female";"White";35
"2431";"Public Initiated";"2018-0200-P";"11/11/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"7/24/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"Narcotics";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";45626;"Black";"Male";35;7;"Male";"Black";22
"2432";"Public Initiated";"2018-0203-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"7/2/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";45647;"White";"Male";28;3;"Female";"Black";27
"2433";"Public Initiated";"2018-0203-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"7/2/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";45649;"White";"Male";28;3;"Female";"Black";27
"2434";"Public Initiated";"2018-0210-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"4/4/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"Investigations";"Staff";"";"";"";"";45663;"White";"Male";37;17;"";"";NA
"2435";"Public Initiated";"2018-0210-P";"4/2/2018 12:00:00 AM";"4/2/2018 12:00:00 AM";"4/4/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"Investigations";"Staff";"";"";"";"";45662;"Hispanic";"Female";44;6;"";"";NA
"2436";"Public Initiated";"2018-0205-N";"";"4/3/2018 12:00:00 AM";"6/6/2018 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"";"";"";"";"";"NO VIOLATION OBSERVED";"";45628;"";"";NA;NA;"Male";"Black";NA
"2437";"Public Initiated";"2018-0206-R";"3/22/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"7/24/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"2nd District";"Narcotics";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45652;"Black";"Male";53;25;"";"";NA
"2438";"Public Initiated";"2018-0204-P";"4/1/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Unknown District/Division";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45919;"Black";"Male";52;29;"Female";"Black";28
"2439";"Public Initiated";"2018-0204-P";"4/1/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Unknown District/Division";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45920;"Black";"Male";59;30;"Female";"Black";28
"2440";"Public Initiated";"2018-0204-P";"4/1/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Unknown District/Division";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45922;"Black";"Female";50;24;"Female";"Black";28
"2441";"Public Initiated";"2018-0202-P";"3/28/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"10/26/2018 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"3rd District";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45625;"Black";"Female";44;5;"Female";"Black";39
"2442";"Rank Initiated";"2018-0209-R";"4/3/2018 12:00:00 AM";"4/3/2018 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"Narcotics";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 5: REST ACTIVITIES";"PARAGRAPH 09 - CRIMINAL PROCEEDING AGAINST MEMBER(S)";45633;"White";"Male";27;5;"";"";NA
"2443";"Public Initiated";"2018-0211-P";"4/4/2018 12:00:00 AM";"4/4/2018 12:00:00 AM";"8/3/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"Special Operations Division";"Tactical Section";"V.O.W.S. Unit";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";45660;"Asian/Pacifi";"Male";33;13;"Male";"White";NA
"2444";"Public Initiated";"2018-0213-P";"4/2/2018 12:00:00 AM";"4/5/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45689;"Black";"Female";33;10;"Female";"Black";44
"2445";"Public Initiated";"2018-0213-P";"4/2/2018 12:00:00 AM";"4/5/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45889;"White";"Male";NA;NA;"Female";"Black";44
"2446";"Rank Initiated";"2018-0217-R";"";"4/6/2018 12:00:00 AM";"6/13/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"6th District";"D.I.U.";"Property";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45716;"White";"Female";NA;15;"";"";NA
"2447";"Rank Initiated";"2018-0212-R";"4/4/2018 12:00:00 AM";"4/6/2018 12:00:00 AM";"8/8/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45732;"Asian/Pacifi";"Male";24;3;"";"";NA
"2448";"Rank Initiated";"2018-0212-R";"4/4/2018 12:00:00 AM";"4/6/2018 12:00:00 AM";"8/8/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45734;"White";"Male";35;3;"";"";NA
"2449";"Rank Initiated";"2018-0212-R";"4/4/2018 12:00:00 AM";"4/6/2018 12:00:00 AM";"8/8/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45736;"Black";"Male";35;3;"";"";NA
"2450";"Rank Initiated";"2018-0212-R";"4/4/2018 12:00:00 AM";"4/6/2018 12:00:00 AM";"8/8/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45738;"Race-Unknown";"Male";30;4;"";"";NA
"2451";"Public Initiated";"2018-0215-P";"4/5/2018 12:00:00 AM";"4/9/2018 12:00:00 AM";"6/5/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45711;"Black";"Male";43;16;"Female";"Black";35
"2452";"Public Initiated";"2018-0218-P";"3/24/2018 12:00:00 AM";"4/9/2018 12:00:00 AM";"6/18/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Unknown District/Division";"3rd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45741;"Black";"Male";35;3;"Male";"White";24
"2453";"Public Initiated";"2018-0219-P";"4/9/2018 12:00:00 AM";"4/9/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45742;"White";"Male";26;2;"Male";"";34
"2454";"Public Initiated";"2018-0219-P";"4/9/2018 12:00:00 AM";"4/9/2018 12:00:00 AM";"8/14/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45766;"White";"Male";53;22;"Male";"";34
"2455";"Rank Initiated";"2018-0216-R";"4/5/2018 12:00:00 AM";"4/9/2018 12:00:00 AM";"3/29/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"C Platoon";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45724;"Black";"Female";32;3;"Male";"White";59
"2456";"Public Initiated";"";"";"4/10/2018 12:00:00 AM";"";"";"Initial";"Pending";"";"";"";"";"";"";"";"";NA;"";"";NA;NA;"";"";NA
"2457";"Rank Initiated";"2018-0223-R";"4/6/2018 12:00:00 AM";"4/10/2018 12:00:00 AM";"7/11/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45947;"Black";"Male";48;25;"";"";NA
"2458";"Rank Initiated";"2018-0220-R";"";"4/10/2018 12:00:00 AM";"4/25/2018 12:00:00 AM";"DI-1";"Completed";"Other";"";"";"";"";"";"";"";"";45869;"Black";"Female";NA;NA;"Male";"Black";NA
"2459";"Rank Initiated";"2018-0224-D";"3/27/2018 12:00:00 AM";"4/11/2018 12:00:00 AM";"4/13/2018 12:00:00 AM";"DI-2";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45795;"Black";"Male";53;18;"";"";NA
"2460";"Rank Initiated";"2018-0226-R";"4/2/2018 12:00:00 AM";"4/11/2018 12:00:00 AM";"7/13/2018 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45900;"Black";"Male";55;22;"";"";NA
"2461";"Rank Initiated";"2018-0227-R";"4/4/2018 12:00:00 AM";"4/12/2018 12:00:00 AM";"7/1/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"C Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45779;"Black";"Female";33;11;"";"";NA
"2462";"Public Initiated";"2018-0228-P";"4/4/2018 12:00:00 AM";"4/12/2018 12:00:00 AM";"10/25/2018 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"5th District";"A Platoon";"";"";"";"";"";45796;"Black";"Male";52;29;"Male";"Black";56
"2463";"Public Initiated";"2018-0229-P";"";"4/13/2018 12:00:00 AM";"7/10/2018 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"ISB - Investigations and Support Bureau";"Special Investigations Division";"Street Gang Unit";"Squad B";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45841;"Black";"Male";NA;5;"Female";"Black";NA
"2464";"Public Initiated";"2018-0230-N";"";"4/14/2018 12:00:00 AM";"4/27/2018 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"";"NO VIOLATION OBSERVED";"";45843;"Black";"Male";NA;22;"Female";"Black";NA
"2465";"Public Initiated";"2018-0230-N";"";"4/14/2018 12:00:00 AM";"4/27/2018 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"";"NO VIOLATION OBSERVED";"";45845;"Black";"Male";NA;18;"Female";"Black";NA
"2466";"Public Initiated";"2018-0230-N";"";"4/14/2018 12:00:00 AM";"4/27/2018 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"";"NO VIOLATION OBSERVED";"";45846;"Black";"Female";NA;15;"Female";"Black";NA
"2467";"Rank Initiated";"2018-0232-R";"";"4/16/2018 12:00:00 AM";"7/1/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"";"Unknown Working Status";"Unknown Shift Hours";"";"";45854;"White";"Male";NA;4;"";"";NA
"2468";"Public Initiated";"";"";"4/16/2018 12:00:00 AM";"";"";"Initial";"Pending";"";"";"";"";"";"";"";"";NA;"";"";NA;NA;"";"";NA
"2469";"Public Initiated";"2018-0233-P";"4/16/2018 12:00:00 AM";"4/17/2018 12:00:00 AM";"11/14/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45890;"White";"Male";37;11;"Male";"";NA
"2470";"Public Initiated";"2018-0233-P";"4/16/2018 12:00:00 AM";"4/17/2018 12:00:00 AM";"11/14/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45952;"White";"Male";26;2;"Male";"";NA
"2471";"Public Initiated";"2018-0234-P";"4/16/2018 12:00:00 AM";"4/18/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"2nd District";"D.I.U.";"Persons";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";46122;"White";"Female";29;4;"Female";"Black";43
"2472";"Public Initiated";"2018-0234-P";"4/16/2018 12:00:00 AM";"4/18/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"2nd District";"D.I.U.";"Persons";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";46124;"White";"Male";29;3;"Female";"Black";43
"2473";"Public Initiated";"2018-0235-P";"4/17/2018 12:00:00 AM";"4/18/2018 12:00:00 AM";"8/20/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45913;"Hispanic";"Male";30;4;"Female";"Black";55
"2474";"Public Initiated";"2018-0243-P";"7/24/2017 12:00:00 AM";"4/18/2018 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"Traffic Division";"Limited Duty";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45983;"Black";"Female";34;10;"Male";"White";NA
"2475";"Public Initiated";"2018-0243-P";"7/24/2017 12:00:00 AM";"4/18/2018 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"Traffic Division";"Limited Duty";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";47445;"Not Specifie";"N";69;16;"Male";"White";NA
"2476";"Public Initiated";"2018-0236-P";"12/28/2017 12:00:00 AM";"4/19/2018 12:00:00 AM";"8/18/2018 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"Motorcycle 2nd Platoon";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45923;"Black";"Male";55;0;"Female";"W";33
"2477";"Public Initiated";"2018-0237-P";"4/15/2018 12:00:00 AM";"4/20/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45939;"White";"Male";37;2;"Female";"Black";43
"2478";"Rank Initiated";"2018-0238-R";"";"4/20/2018 12:00:00 AM";"5/8/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45941;"Black";"Female";NA;21;"";"";NA
"2479";"Rank Initiated";"2018-0239-P";"4/12/2018 12:00:00 AM";"4/22/2018 12:00:00 AM";"7/2/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"A Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";45944;"Black";"Male";34;12;"Female";"Black";32
"2480";"Public Initiated";"2018-0242-P";"4/22/2018 12:00:00 AM";"4/23/2018 12:00:00 AM";"3/28/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"7th District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";45961;"Black";"Male";44;14;"Sex-Unk";"Race-Unknown";NA
"2481";"Rank Initiated";"2018-0240-R";"4/2/2018 12:00:00 AM";"4/23/2018 12:00:00 AM";"9/9/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Service Bureau";"Administrative Duties Services";"Limited Duty";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";45968;"Black";"Male";45;18;"";"";NA
"2482";"Public Initiated";"2018-0245-P";"6/7/2017 12:00:00 AM";"4/23/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 6: OFFICIAL INFO";"PARAGRAPH 02 - FALSE OR INACCURATE REPORTS";46005;"Black";"Male";42;20;"Male";"Black";44
"2483";"Public Initiated";"2018-0241-N";"4/23/2018 12:00:00 AM";"4/23/2018 12:00:00 AM";"6/3/2018 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Unknown";"";"";"";"";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";45970;"";"";NA;NA;"Female";"Black";36
"2484";"Public Initiated";"2018-0244-P";"4/24/2018 12:00:00 AM";"4/24/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"7th District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";46104;"Black";"Male";41;12;"Male";"Race-Unknown";NA
"2485";"Public Initiated";"2018-0244-P";"4/24/2018 12:00:00 AM";"4/24/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"7th District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";46106;"White";"Male";34;4;"Male";"Race-Unknown";NA
"2486";"Public Initiated";"2018-0244-P";"4/24/2018 12:00:00 AM";"4/24/2018 12:00:00 AM";"6/19/2018 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"7th District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";46108;"Hispanic";"Male";30;3;"Male";"Race-Unknown";NA
